ID,Nombre,Equipo,Puntaje,Competencias
8531,vst,MAD Lions,75,35
37719,daqdikte,T1,56,22
21677,uzy,Sentinels,97,33
8215,osfh,Hanwha Life Esports,91,31
23988,iuwspwm,Immortals,90,15
8966,xvw,G2 Esports,63,16
36011,vhkk,Sentinels,33,18
4405,bud,Sentinels,49,45
11050,mpocbf,Gen.G,97,24
33520,xspdboq,Immortals,73,43
15045,uuzy,Fnatic,25,24
11440,apovrlf,Rogue,30,28
46131,vxo,Gen.G,35,38
10304,wsyptv,Sentinels,67,30
24601,yxvlv,Hanwha Life Esports,95,25
24932,dqoh,Fnatic,66,3
42039,xlpmzlst,MAD Lions,91,13
12686,sbpte,Gen.G,24,9
3019,rijh,Gen.G,16,8
9340,vdvrht,Rogue,88,29
39229,abjx,Rogue,49,5
27600,exj,Fnatic,28,42
32323,ktrjli,Rogue,91,5
43960,whyuwhi,MAD Lions,15,41
28586,izll,Rogue,18,19
20174,lyr,Cloud9,39,1
14118,ewzm,Sentinels,12,28
5890,bhbrubp,Rogue,57,3
13095,euf,Hanwha Life Esports,77,43
34206,oecpzzda,MAD Lions,98,1
18986,vuw,Fnatic,85,15
23244,cwdnri,Damwon Gaming,48,24
44969,refo,FlyQuest,52,33
34813,nkoy,Cloud9,44,43
15111,hvhwv,Immortals,22,4
940,safgsf,FlyQuest,28,30
44954,owg,Rogue,25,42
31897,fjggt,MAD Lions,84,6
16411,cadih,T1,32,30
32912,divta,MAD Lions,3,21
15939,ffan,100 Thieves,32,24
25927,scxqupms,G2 Esports,35,34
5518,obeqlzg,Cloud9,61,27
21157,zkyq,100 Thieves,9,34
34402,lajio,Hanwha Life Esports,6,13
16925,eguywr,FlyQuest,99,37
40163,cuuorx,100 Thieves,18,29
47914,ortms,Sentinels,82,41
46135,smezlc,Fnatic,23,28
26149,iashnbj,Gen.G,11,5
19206,dugb,T1,53,43
18354,hrnmhv,Gen.G,47,43
7606,gohlbqs,FlyQuest,27,2
28894,rlocmk,Sentinels,38,23
23236,azqsjoc,T1,45,38
17557,fvag,MAD Lions,43,6
31024,sbigcyy,Fnatic,19,18
49048,lekrq,MAD Lions,56,19
5044,tvz,G2 Esports,19,32
6799,srmk,FlyQuest,32,16
39721,nzdgoifw,MAD Lions,50,20
22641,faqlzsj,G2 Esports,81,40
24829,mnjd,Gen.G,65,41
13281,hvnxo,Gen.G,85,42
29830,vaquv,Fnatic,40,19
43295,mlaoghs,Gen.G,43,36
5899,vjzb,Gen.G,12,3
1723,aryhb,Damwon Gaming,81,2
425,byxclzb,Cloud9,13,23
15571,fjudkzp,Immortals,7,38
27247,pthddln,Sentinels,88,39
27641,xlroq,Fnatic,40,4
14339,cpfvymry,Fnatic,97,19
7483,phlep,Gen.G,36,18
14874,fse,G2 Esports,47,37
889,kotsoyf,Hanwha Life Esports,43,41
35801,nzsmkq,Rogue,50,27
3061,vnsqzkpp,Immortals,84,15
28009,mjwmkye,MAD Lions,33,33
27204,tybsdpm,100 Thieves,63,9
5970,ytajhcy,MAD Lions,84,4
12426,wmwureq,Hanwha Life Esports,96,34
3262,ueaa,G2 Esports,10,5
26271,hcewpfjc,Cloud9,9,5
22651,bowbz,T1,8,26
41087,xuqg,G2 Esports,45,18
8441,tdd,Fnatic,70,1
44427,ivjauzjd,FlyQuest,26,35
13907,psaqw,Rogue,79,1
28286,xptyvr,Damwon Gaming,4,11
8481,llj,Gen.G,93,22
33776,jamvl,100 Thieves,41,24
8227,wfbbm,Damwon Gaming,30,3
38711,glkmd,G2 Esports,0,35
347,xcujps,MAD Lions,23,14
1268,ujfpwc,T1,44,26
5211,ipqzxwsd,Sentinels,53,44
20339,tunin,Fnatic,35,1
43330,gwri,100 Thieves,70,17
21417,hkxuar,Fnatic,49,5
21826,tijkta,Hanwha Life Esports,63,18
41115,gxxec,Sentinels,1,35
8103,sbrf,Hanwha Life Esports,95,8
37624,gbv,Hanwha Life Esports,78,20
11941,vojuo,100 Thieves,53,17
4999,xbyogmr,Fnatic,26,30
46404,wdkmniss,100 Thieves,56,16
21695,qtb,Hanwha Life Esports,23,18
12663,vmpwtf,MAD Lions,62,22
10455,hdqbj,Immortals,96,11
21453,rhlwjnwt,Gen.G,24,41
47140,sdbtu,Hanwha Life Esports,78,22
13853,nweg,Damwon Gaming,34,42
25856,tnsas,Gen.G,10,20
29009,vxiskf,G2 Esports,34,45
2365,ovrdmxoa,Gen.G,20,28
2371,xagfls,Gen.G,23,3
23030,iivco,Gen.G,0,5
21317,libgakd,Damwon Gaming,25,31
28993,ccojvyw,FlyQuest,86,26
19534,cdg,FlyQuest,80,10
41676,eqd,Gen.G,10,19
9673,ngrgwyp,MAD Lions,77,26
18529,osultx,100 Thieves,72,38
49,bnt,100 Thieves,18,7
20768,vip,Damwon Gaming,91,7
44237,fsf,G2 Esports,91,14
36259,pytig,Immortals,55,42
16943,ccrw,Gen.G,53,7
36726,wbph,Fnatic,70,25
21400,bagbfm,FlyQuest,74,12
8404,ksxm,G2 Esports,30,26
46977,isinf,Damwon Gaming,26,42
23372,qlwgxbe,G2 Esports,93,25
32802,dlirh,FlyQuest,52,31
47989,xmhwjpyl,Fnatic,73,7
3035,znzqpu,Gen.G,31,17
8657,jfkzokh,MAD Lions,82,22
18458,dppxwmrz,Damwon Gaming,39,30
31859,zjnxo,FlyQuest,69,42
3716,humorn,MAD Lions,34,43
21798,ccdx,Damwon Gaming,72,25
28801,ubpfrvn,Gen.G,92,18
13610,rfoqyxg,FlyQuest,30,17
15297,weki,Gen.G,14,30
23712,pnicrp,Cloud9,27,8
31178,rcfswsv,Cloud9,93,38
18195,puekioep,Immortals,43,42
44482,lsoj,T1,99,36
26787,lofsbvo,Gen.G,23,27
10118,tagxk,Gen.G,33,13
4144,lom,Sentinels,4,6
48191,yrzkbx,Cloud9,10,23
271,dsnei,T1,47,10
48417,zcsgcyo,Hanwha Life Esports,21,11
31278,nihysyya,Rogue,43,29
19806,uqrzpm,Damwon Gaming,94,23
21206,myvds,Cloud9,27,17
3106,tarp,G2 Esports,58,33
25168,ftuztk,FlyQuest,91,28
29922,nulbjpq,100 Thieves,5,22
8478,efnu,Gen.G,64,6
25761,cigh,G2 Esports,34,27
43979,xfdk,Rogue,21,15
28869,dacfrjui,FlyQuest,3,16
11188,wbhxnvk,Damwon Gaming,19,37
36356,nuheqybw,Rogue,12,38
30254,rypxvxar,MAD Lions,33,12
3821,oapx,Hanwha Life Esports,49,16
3214,swfres,Fnatic,41,34
47071,gfkbk,Rogue,47,42
28290,repp,Rogue,46,42
32008,krbalc,FlyQuest,39,39
7515,iduhy,Gen.G,60,13
38166,hlsugq,100 Thieves,58,41
6751,bxnf,Rogue,73,18
47935,akik,T1,45,18
48448,iplfotq,T1,92,28
413,qmdayy,Fnatic,12,10
17283,nwmaozdl,Gen.G,0,40
16650,tpdrjkus,Damwon Gaming,73,23
5260,ltp,T1,30,33
41130,mro,Sentinels,1,35
42031,kiou,T1,48,2
29080,dpzqjblm,Cloud9,56,9
46590,gikixez,Hanwha Life Esports,51,43
1224,jdwi,Hanwha Life Esports,1,33
47990,zwyzve,Gen.G,93,31
9592,qddfitn,T1,73,22
41810,iuhm,Rogue,49,42
38781,hqasbx,Damwon Gaming,70,41
38950,kucq,Hanwha Life Esports,84,33
23829,dbt,FlyQuest,94,9
25178,mrph,T1,22,29
25704,swpemw,Rogue,71,14
72,tspqbshx,T1,96,27
26520,qmstj,Sentinels,20,34
33262,zdtzy,Fnatic,12,41
1499,pogdiu,Fnatic,36,36
17672,riw,Immortals,10,20
45491,vok,Fnatic,29,12
47306,rxhyoz,100 Thieves,70,11
8998,kfp,MAD Lions,10,21
1732,ledcs,Sentinels,26,8
4033,lkcntd,FlyQuest,87,19
46025,yiab,Cloud9,65,27
34572,tsjfvawr,Cloud9,10,29
40168,harxvik,Fnatic,41,10
14971,drqkuyju,Immortals,87,45
34043,qnngzt,FlyQuest,20,18
4925,gbutx,MAD Lions,94,35
2786,dqi,Sentinels,65,3
45778,ccqgqwg,Cloud9,38,17
9466,mvmeccke,Cloud9,38,11
36021,jjjxrm,T1,19,26
1397,akewht,Rogue,80,29
17161,ocfjc,Gen.G,66,38
3291,ylxizz,Rogue,19,15
26499,esmguh,FlyQuest,100,28
37974,upo,G2 Esports,68,1
3855,wxgfej,Cloud9,68,11
29975,xbesv,G2 Esports,29,27
28418,acqy,Gen.G,48,11
22626,qmeakv,Rogue,71,15
47778,wim,Rogue,27,7
11297,jieyq,Cloud9,44,36
7001,yiapnes,T1,56,6
13592,gak,Sentinels,100,39
33435,uhew,Rogue,75,2
38532,lggyrawi,Rogue,95,1
26489,kjnc,100 Thieves,5,15
38768,ytjybfs,Hanwha Life Esports,28,1
28505,tvmroaxi,MAD Lions,12,27
49277,lzohhoqj,Cloud9,94,36
4509,dspqut,G2 Esports,18,25
36798,qwu,Fnatic,36,38
22490,vdk,Gen.G,12,19
46825,pnb,T1,95,42
36040,dptc,G2 Esports,18,36
11671,ioo,Fnatic,89,27
1290,rlponuq,Hanwha Life Esports,37,20
23373,wvrf,Cloud9,48,8
42612,onx,Cloud9,88,26
9587,idjt,Hanwha Life Esports,84,44
36056,maccpc,T1,94,12
39132,zrov,Cloud9,60,21
25738,fme,Cloud9,1,13
3890,gunfo,100 Thieves,7,33
48862,ahkwuu,FlyQuest,59,16
11177,vhwkb,100 Thieves,6,23
29574,abhqubk,100 Thieves,38,18
9456,xmit,FlyQuest,53,21
835,dgsx,Hanwha Life Esports,58,2
7164,mne,Cloud9,31,22
32999,srrzdoy,Rogue,47,35
27218,fozmfxu,Rogue,51,4
10442,muphwi,Fnatic,43,19
37423,dzbfhkm,Sentinels,41,29
11449,oqwbrdts,Immortals,42,13
47086,ukpyjq,T1,82,34
27208,sxjeoea,Immortals,90,32
5522,vcn,Immortals,25,18
16386,qthzs,MAD Lions,55,5
35954,lou,Cloud9,44,12
344,kwglnwvy,MAD Lions,53,14
15664,xbtbul,Immortals,16,37
375,cjia,T1,14,36
4951,dynqtem,G2 Esports,95,5
29609,stftzd,Hanwha Life Esports,38,43
11743,ezz,G2 Esports,35,33
39601,khobype,Sentinels,41,30
11093,kric,Gen.G,47,13
37369,ylofz,FlyQuest,28,22
10324,wdoal,Fnatic,93,26
15293,tvp,Hanwha Life Esports,37,32
39556,nwdtz,MAD Lions,9,6
44924,sier,G2 Esports,50,35
14496,qrdoj,G2 Esports,67,6
36366,miszkkr,Sentinels,58,41
6441,zthn,FlyQuest,57,28
48531,vbnsfqk,FlyQuest,92,40
42562,zbb,Cloud9,62,18
28272,pxp,MAD Lions,75,39
14442,ywacr,Hanwha Life Esports,43,13
18459,njzxe,FlyQuest,84,8
21276,zvokkfm,Gen.G,38,27
7366,lwi,Fnatic,45,38
25658,lso,Damwon Gaming,27,11
42704,losq,T1,4,31
4821,olqjgsc,Rogue,15,42
19231,fui,MAD Lions,56,27
31543,mla,100 Thieves,21,12
25799,vcwrk,Fnatic,55,45
16158,sdz,Hanwha Life Esports,1,2
16140,jdhsfd,Damwon Gaming,90,42
29185,ogtkwrd,Damwon Gaming,83,17
31751,vimtwz,T1,8,42
17114,umhbsjyu,Immortals,36,7
18304,nycsxkem,FlyQuest,17,41
17011,gpkrx,G2 Esports,5,16
41770,tud,T1,45,32
32585,vmc,Immortals,64,41
42600,jqmvqu,Immortals,18,2
1823,mizzyi,Sentinels,7,17
18009,lqoo,Rogue,56,6
42033,klsqnxn,Rogue,12,1
2026,eal,Cloud9,95,7
12404,rbd,Sentinels,56,4
8761,jep,Hanwha Life Esports,87,31
18105,lqzhpmb,100 Thieves,34,34
17693,hove,T1,21,18
1640,hpt,Damwon Gaming,78,1
25883,kug,Immortals,16,40
30958,hnvw,100 Thieves,98,42
2840,udmkyju,G2 Esports,97,28
7422,snkxs,Hanwha Life Esports,46,12
45969,rbu,Cloud9,17,1
49049,pyakjwtc,G2 Esports,33,26
1927,rvouktn,MAD Lions,51,43
31985,hltznjer,T1,35,29
45064,kmi,Sentinels,85,10
48563,ucgl,FlyQuest,52,38
11909,tun,Fnatic,29,5
30746,npsmkx,Immortals,53,42
23412,eykw,Hanwha Life Esports,80,23
29112,stid,100 Thieves,64,18
19100,dfhjfbdb,Immortals,96,41
2445,ggvag,Cloud9,33,44
6088,dci,T1,77,23
27406,rpz,Immortals,95,8
24597,yvcvoslf,Sentinels,26,32
48787,rhlmfkko,MAD Lions,64,8
18750,ccxalv,Gen.G,68,5
28809,edg,Fnatic,19,23
2598,yqun,MAD Lions,61,39
46040,cipzcc,Damwon Gaming,93,11
24042,ndkyljlt,Immortals,28,27
7781,urhjx,T1,41,22
33127,kzlznupu,Hanwha Life Esports,27,19
32918,rnace,Cloud9,46,15
27393,fzbdmhv,MAD Lions,45,17
48643,sbjqod,Sentinels,7,32
552,hlw,Gen.G,25,16
25809,qerggd,Cloud9,68,25
27548,bmmof,Damwon Gaming,56,26
40262,slbfl,Fnatic,94,4
33715,idbpdkzd,100 Thieves,15,27
46272,uvj,Sentinels,73,18
21581,pgoh,100 Thieves,26,33
39204,ykkcekc,Gen.G,16,32
15573,djponj,Damwon Gaming,92,12
2958,okbwoh,Gen.G,39,41
36708,sxmtsfi,Damwon Gaming,92,28
30399,kultx,Immortals,56,43
4602,ghliaodg,Fnatic,52,12
19622,ynad,Sentinels,24,44
21748,nhmna,MAD Lions,90,16
38027,jzwtdp,Rogue,5,33
47399,esq,MAD Lions,2,12
44077,gqusj,Sentinels,72,14
37637,izjrs,Fnatic,51,21
26418,qhyrlhzn,Hanwha Life Esports,22,19
37686,pmtc,Damwon Gaming,0,4
15409,druszbw,100 Thieves,100,28
40605,jsbvlrxd,Fnatic,62,39
28012,sxb,Hanwha Life Esports,1,3
41891,hyjhlbdf,100 Thieves,30,15
33569,ihyuckto,Damwon Gaming,59,31
3211,dayfhz,G2 Esports,50,44
48601,zjyblnal,Gen.G,12,8
44024,yltmiw,MAD Lions,55,25
16853,tcks,FlyQuest,49,17
23679,wuahbxjn,FlyQuest,28,37
12401,dptucfi,Fnatic,83,41
3544,skifbid,100 Thieves,91,45
9686,skkwqugx,Cloud9,9,34
8219,ytrfl,FlyQuest,49,31
28236,dmie,MAD Lions,36,44
17450,ylswym,Damwon Gaming,86,2
19938,hcygs,T1,61,33
7832,nnhpohnl,Cloud9,41,40
39098,vlvoo,Cloud9,52,19
21211,hsw,Rogue,45,37
16923,tdyo,FlyQuest,12,35
15930,ijhsawt,T1,55,35
34819,viri,Sentinels,16,39
17691,lzw,Gen.G,48,34
24270,agsx,Immortals,11,40
14461,yph,Damwon Gaming,13,33
26861,wvweo,100 Thieves,79,3
38946,qsjiemj,Fnatic,39,14
35173,lrojdrx,MAD Lions,25,30
22143,yoxfa,100 Thieves,39,3
10767,oksucc,Damwon Gaming,35,3
4276,cyzh,Damwon Gaming,15,19
21357,ufcoxqmm,FlyQuest,100,33
325,dfz,100 Thieves,50,18
2575,lvzwads,Hanwha Life Esports,17,28
34358,jka,T1,51,28
23080,atmerisw,MAD Lions,8,27
45038,zswuytz,Sentinels,87,31
19289,orsdfa,Rogue,19,41
32084,smtd,FlyQuest,40,31
42510,hrq,Fnatic,6,32
42386,hetyat,MAD Lions,84,4
46832,uzhijggg,Hanwha Life Esports,99,44
21647,fyxxbmt,Hanwha Life Esports,100,27
26072,rmgdik,Fnatic,17,2
26304,bwj,G2 Esports,31,12
11518,zszypiph,100 Thieves,79,32
28110,xvzkl,Cloud9,43,7
42445,refuoox,Sentinels,36,9
6854,ieiefa,100 Thieves,0,42
16833,oimziti,Immortals,15,15
39320,hprkei,100 Thieves,23,32
19414,sqfvciaw,Hanwha Life Esports,39,15
39134,knrhgye,Cloud9,51,43
3983,znzr,Hanwha Life Esports,42,36
38223,mztsxci,Hanwha Life Esports,24,14
24622,qrqjaou,FlyQuest,71,21
1954,tnct,Gen.G,38,39
20061,qbqbhgty,Immortals,58,26
2262,nyabdtc,Hanwha Life Esports,61,24
25755,hlczp,T1,69,27
28595,dsfmt,Sentinels,69,36
40666,bqja,Gen.G,97,4
24335,xggwdhha,Immortals,98,9
14710,saa,Rogue,47,43
20944,cmwrsfi,G2 Esports,71,10
2090,jzms,Immortals,68,21
29369,xrgatv,Fnatic,14,3
48857,pobtaz,G2 Esports,25,21
13510,madfk,T1,0,44
42123,pykxpgio,FlyQuest,32,3
35471,srvtb,T1,37,39
13830,rvsjl,Fnatic,81,39
34531,jjkxs,Hanwha Life Esports,5,45
43523,ypql,FlyQuest,39,33
49382,ifx,100 Thieves,95,9
22754,muonqfl,Immortals,73,25
45903,shypwqm,FlyQuest,42,8
23937,ywbym,FlyQuest,13,24
1618,urckzoh,Immortals,18,14
29997,cqap,Gen.G,21,23
29122,ozunv,Cloud9,86,21
19577,xjqhiqmw,100 Thieves,84,8
6247,gozftzbb,Sentinels,84,40
22433,pvxw,Damwon Gaming,12,42
16308,wlfcohre,Fnatic,14,39
260,vkbmgb,Cloud9,84,5
29042,pppptl,Fnatic,21,32
16938,mqdqbh,G2 Esports,98,23
47881,hzcb,FlyQuest,37,23
18367,uepaeku,Fnatic,26,33
21295,tfmffe,FlyQuest,20,12
16823,ctqhq,Rogue,0,11
5865,cmoxnfp,G2 Esports,24,9
10701,yyfevgj,G2 Esports,8,39
37988,bok,Hanwha Life Esports,80,12
11709,tzuku,Cloud9,62,29
9601,cdbgv,Fnatic,70,26
9255,wvua,Cloud9,4,39
48023,nxu,G2 Esports,69,43
20059,rqhizhyn,Hanwha Life Esports,32,23
4160,xjdqb,Immortals,97,19
25228,hrysa,T1,43,25
39114,hfkjyvp,G2 Esports,60,38
36594,ouqlyw,Fnatic,33,22
26223,cdzwvlwu,Hanwha Life Esports,4,26
19129,evnhycgp,Rogue,85,23
1966,ropn,Fnatic,31,30
15708,ytwevr,MAD Lions,35,40
14765,vublwreo,G2 Esports,54,3
9816,ksmscd,MAD Lions,94,43
45085,jry,G2 Esports,89,3
27093,humew,Hanwha Life Esports,1,38
47154,mftr,Sentinels,12,25
48677,wurujwb,Sentinels,91,41
17477,exvo,Fnatic,8,19
31111,chrn,Sentinels,71,20
8134,yxhoelqc,Fnatic,49,43
8002,ylpm,MAD Lions,37,34
41030,galudc,Cloud9,88,4
29134,jfdubdk,Damwon Gaming,37,28
14075,jmxicig,Gen.G,6,29
30034,rgtf,Fnatic,61,4
10466,qmzmupze,Immortals,50,7
36846,pbiprac,Fnatic,50,33
6573,pkj,G2 Esports,64,34
22351,jrghqop,Sentinels,46,41
2006,rphq,FlyQuest,7,12
13625,svk,MAD Lions,19,12
39066,zmdbgjrb,Fnatic,30,8
4795,bnzdknud,Fnatic,44,12
19375,dbah,MAD Lions,15,6
1313,qzrakrm,100 Thieves,43,42
45834,szotz,Fnatic,81,17
37866,kmptjap,MAD Lions,97,16
12574,aslslgts,Immortals,20,33
5529,xgfvz,G2 Esports,22,35
35616,abvnq,Cloud9,82,44
42561,islcvy,FlyQuest,50,24
4911,mmr,MAD Lions,98,3
9124,wcuwj,Rogue,20,18
33349,ajp,Sentinels,99,21
31267,mem,G2 Esports,74,42
19505,rfjegxr,Fnatic,60,42
27991,eny,Cloud9,10,45
40362,vsy,Sentinels,16,12
34376,crwleqb,Sentinels,4,20
36709,xek,Cloud9,10,1
1740,msqwmr,FlyQuest,8,25
31580,bccchy,100 Thieves,80,31
16159,dveqaq,Hanwha Life Esports,72,5
21437,ocpq,Fnatic,67,18
30223,vmeyc,FlyQuest,41,19
39316,dwksnawy,Damwon Gaming,81,16
34541,tqll,Cloud9,47,20
3830,hhekjlh,Rogue,47,32
8008,pgvjv,Fnatic,1,9
21021,wpffq,Immortals,67,16
2733,kqbwto,Rogue,72,35
18591,gdf,MAD Lions,24,12
21390,znerrq,Sentinels,9,18
4478,prwb,FlyQuest,40,39
45335,syb,100 Thieves,96,24
20387,jwhnjppf,Hanwha Life Esports,35,14
39964,lqsow,Cloud9,29,7
8913,uovkpwz,Gen.G,79,19
29929,zuxiwxn,T1,31,33
38123,blh,T1,97,39
34414,rwsl,Gen.G,64,32
40472,xbxel,MAD Lions,22,6
31147,ekjbpwo,Rogue,45,37
27169,fkel,Rogue,97,18
35800,tfl,100 Thieves,93,20
26358,rgpxztlu,G2 Esports,55,13
31902,jqyicnio,G2 Esports,25,28
41288,ddbdhnv,Cloud9,98,4
34395,ggfhcqm,Rogue,9,34
32060,dvnph,Fnatic,37,28
49788,zpj,FlyQuest,88,27
17922,dyhqdty,Gen.G,75,32
46214,ynkyt,Fnatic,18,22
8529,kgy,G2 Esports,80,42
19381,gakxgxmh,G2 Esports,42,6
32783,pitib,Sentinels,58,15
38111,kinska,Fnatic,25,32
34385,khytgzb,Cloud9,92,11
35913,pvocx,Fnatic,22,22
33560,vvzdil,Sentinels,83,28
23658,ulqqllw,T1,82,26
45606,geqv,Cloud9,2,15
2556,byxzjye,T1,80,40
33464,nsfkq,Damwon Gaming,20,41
4776,lonnv,100 Thieves,47,42
3555,bgeqnqj,T1,68,13
11781,xif,Damwon Gaming,85,42
35143,cpjrev,FlyQuest,27,31
20109,txepzl,FlyQuest,73,20
13944,lpg,T1,54,28
6311,tuleav,Sentinels,75,11
19351,bdotnyq,MAD Lions,41,10
44597,fpgrrfla,100 Thieves,13,11
28856,trf,Fnatic,47,40
34963,jnqypgm,Gen.G,31,23
10321,mwibdgdh,Gen.G,45,31
19821,znt,Damwon Gaming,25,19
23052,ngsgrq,Rogue,94,2
18465,xgk,Rogue,27,10
17123,qmbcm,Rogue,39,43
2155,qzvu,Sentinels,97,3
6907,rpyhwkeo,Sentinels,70,4
36142,sdao,Sentinels,58,25
1445,laecxl,Sentinels,4,14
9777,zxukkqdu,Immortals,36,5
39074,gvzlcg,100 Thieves,7,1
30428,eilwj,Fnatic,23,25
48125,avoijr,MAD Lions,49,25
7321,kvsx,Cloud9,39,22
13816,donafyj,MAD Lions,38,27
31455,ajk,MAD Lions,45,41
4930,hhalxa,Immortals,25,40
4809,bar,100 Thieves,17,33
34753,fwulr,Damwon Gaming,39,23
47299,mzmmb,Sentinels,90,6
34918,gev,G2 Esports,89,1
27818,ervms,100 Thieves,40,17
27977,fntcvq,Cloud9,88,7
14550,svtq,Fnatic,44,2
26666,zxfjm,Sentinels,51,31
29703,kxjnv,FlyQuest,62,28
41332,pthlgt,Fnatic,18,16
47356,pdvedaqq,Gen.G,49,29
22113,nbb,Cloud9,33,27
38920,prxi,MAD Lions,91,27
15440,otwvsj,Gen.G,49,19
34149,cgiboha,Damwon Gaming,7,40
29909,etq,G2 Esports,31,11
32617,wbxavsd,G2 Esports,21,18
27140,pahxb,Gen.G,27,44
39911,nyxkib,Fnatic,18,23
48453,axlumf,FlyQuest,95,13
11840,nyevu,Hanwha Life Esports,32,7
24184,hmirx,MAD Lions,85,5
46688,cflywzt,G2 Esports,86,29
41961,rhnptx,Immortals,83,39
49045,kgmhx,MAD Lions,99,28
47480,yml,100 Thieves,73,25
28268,urkj,T1,100,41
17754,gxe,Rogue,42,9
27441,rliebp,Rogue,89,37
1007,gno,MAD Lions,59,45
49877,ueg,Damwon Gaming,78,42
14899,nrwshcf,G2 Esports,27,43
34875,smaxp,100 Thieves,64,17
43696,fzfzlfv,T1,58,3
4447,xplhru,100 Thieves,1,3
17351,cgrkwhq,Fnatic,47,16
6454,hkckwmz,Rogue,87,5
6049,ubvxkwq,Rogue,66,31
46415,gkmeyrqv,Rogue,50,26
33092,bfayjrw,T1,34,14
16358,kvkkrbtm,Cloud9,36,30
33063,spejh,Immortals,25,25
956,mwm,Fnatic,70,8
39846,glbqanbz,Damwon Gaming,13,5
41688,fzrhvjo,G2 Esports,19,11
25791,rbp,100 Thieves,63,16
11101,iaakdii,Gen.G,62,7
39764,jfem,Fnatic,24,23
12281,rza,Cloud9,62,12
12315,pyevthjp,T1,59,21
46107,intwfosv,Hanwha Life Esports,23,28
25748,mgdwowl,Immortals,3,27
32744,xfkjemxl,Gen.G,3,1
26090,krx,Immortals,91,13
12357,bbg,Gen.G,44,36
4813,ypj,Cloud9,66,26
48359,xuis,Hanwha Life Esports,5,17
21648,djzh,G2 Esports,48,34
15577,kvwpq,Cloud9,8,39
19686,xoek,100 Thieves,78,13
17655,dnzaroen,Hanwha Life Esports,37,4
462,ulsautqt,Sentinels,44,18
13641,tuol,Gen.G,54,27
18402,uzdbthe,Gen.G,24,3
47045,itn,Gen.G,14,36
31401,xvhe,Rogue,73,35
35790,pxnr,T1,2,31
38047,jeuby,FlyQuest,78,28
32383,selymwfw,FlyQuest,84,30
15082,afppxq,Damwon Gaming,26,14
32405,ouikp,MAD Lions,43,27
38255,vpc,G2 Esports,69,9
13262,axmovw,G2 Esports,39,35
12694,tuvvhif,T1,100,28
26865,djbbgrxm,Sentinels,56,10
12529,ifycyuud,Fnatic,89,26
9338,gmvevcf,Damwon Gaming,80,3
29687,bwg,T1,63,17
41423,tao,Sentinels,76,25
3887,xjd,Cloud9,43,41
28795,nqvrmvxq,Immortals,65,10
7335,jcckwop,Gen.G,6,24
33102,yfv,Rogue,1,4
48142,xdhsnwpk,Damwon Gaming,52,45
42611,pdganv,Hanwha Life Esports,77,45
14117,jehwlvjv,100 Thieves,36,32
18361,ltlxyg,Immortals,86,32
28841,waaj,100 Thieves,58,4
805,nfo,Gen.G,24,19
7039,tftbqbck,Hanwha Life Esports,89,27
37333,rvrvrucr,100 Thieves,29,45
32928,hpp,MAD Lions,14,21
22460,gxhefr,Rogue,23,31
26186,mmziyytv,Damwon Gaming,80,11
1017,hlqmu,Hanwha Life Esports,40,44
49849,zhnddsw,Rogue,36,12
22492,bwj,Damwon Gaming,41,1
34894,tzp,T1,12,11
12211,kmx,Immortals,17,30
48214,fvj,Hanwha Life Esports,61,8
31950,meaggt,MAD Lions,15,14
8131,fcc,100 Thieves,60,11
32285,pkfoa,MAD Lions,1,20
16382,bhoyg,Cloud9,35,45
35591,jfobaoi,Fnatic,66,39
37177,laqudb,Rogue,35,10
46528,ifnvi,Damwon Gaming,19,38
30098,xfqoazh,T1,24,3
45939,vheuoghk,G2 Esports,46,13
837,kav,Sentinels,10,45
41983,ktw,Cloud9,67,7
36159,jyny,G2 Esports,80,30
12491,jyrfcjz,Damwon Gaming,29,31
5263,hxzwm,Sentinels,11,2
10171,ciyirv,FlyQuest,60,20
49863,hyobubjs,Rogue,35,39
41547,knagqlic,Fnatic,85,4
33995,bdd,Gen.G,7,1
44467,ungabzrc,Damwon Gaming,21,20
1401,cuszi,MAD Lions,1,7
27243,qwxiy,Immortals,97,5
24751,cpn,G2 Esports,54,1
47459,jil,Rogue,8,2
16785,oxpi,MAD Lions,98,3
23352,lwzx,Sentinels,23,7
22126,nypuivpd,Rogue,32,45
2032,mktplf,FlyQuest,65,2
45525,arbjezy,MAD Lions,71,19
35419,gdhce,Hanwha Life Esports,86,20
3815,bynepu,FlyQuest,0,23
8509,yhplxnbk,G2 Esports,0,23
23650,jnyaxk,Sentinels,1,4
47064,ntgj,FlyQuest,71,42
25028,sthem,MAD Lions,29,27
8814,ubvzfwr,Rogue,44,15
34230,vmwa,Fnatic,1,8
24264,idk,G2 Esports,40,15
6193,wszi,Cloud9,66,20
18337,stlx,Sentinels,47,42
12727,zgsdz,100 Thieves,85,3
44287,kuisrsvz,Rogue,71,39
22156,fvxyybp,Gen.G,66,24
33339,coygf,Hanwha Life Esports,65,35
29725,xisxcxgi,T1,32,43
30867,xfugq,Gen.G,27,28
11564,svfeswhp,Sentinels,15,35
41186,vhofemcl,G2 Esports,48,20
17018,mfmxkup,Damwon Gaming,89,28
42811,lhyd,Hanwha Life Esports,10,6
31938,qjcoxz,T1,23,39
48712,dkrap,Hanwha Life Esports,92,26
16799,svalbpfo,G2 Esports,19,6
41475,lcrckr,100 Thieves,97,23
